director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Amol Palekar,Antara Mali,Rajat Kapoor,Rituparna Sengupta,Drama,...and once again,Antara Mali Rajat Kapoor Rituparna Sengupta Amol Palekar Drama
Manoj Tiwari,Celina Jaitly,Isha Koppikar,Gul Panag,Comedy,hello darling,Celina Jaitly Isha Koppikar Gul Panag Manoj Tiwari Comedy
Sushil Rajpal,Raja Chaudhary,Vinay Pathak,unknown,Crime,antardwand,Raja Chaudhary Vinay Pathak unknown Sushil Rajpal Crime
Nagesh Kukunoor,John Abraham,Sonal Sehgal,Prateeksha Lonkar,Drama,aashayein,John Abraham Sonal Sehgal Prateeksha Lonkar Nagesh Kukunoor Drama
Sartaj Singh Pannu,Sartaj Singh Pannu,Barkha Madan,Bhupinder Singh,"Mystery, Suspense",soch lo,"Sartaj Singh Pannu Barkha Madan Bhupinder Singh Sartaj Singh Pannu Mystery, Suspense"
Siddharth Malhotra,Arjun Rampal,Kajol,Kareena Kapoor,"Drama, Romance",we are family,"Arjun Rampal Kajol Kareena Kapoor Siddharth Malhotra Drama, Romance"
Wilson Louis,Sameer Dattani,Sheena Nayar,Himanshu Malik,Horror,mallika,Sameer Dattani Sheena Nayar Himanshu Malik Wilson Louis Horror
Akshay Shere,Mohit Alawat,Kalki Koechlin,Vinay Pathak,Drama,the film emotional atyachar,Mohit Alawat Kalki Koechlin Vinay Pathak Akshay Shere Drama
Abhinav Kashyap,Salman Khan,Arbaaz Khan,Sonakshi Sinha,Action,dabangg,Salman Khan Arbaaz Khan Sonakshi Sinha Abhinav Kashyap Action
Rahsaan Islam,Rahsaan Islam,Bakhtiar Hafeez,Trishna Murad,Comedy,kings of devon,Rahsaan Islam Bakhtiar Hafeez Trishna Murad Rahsaan Islam Comedy
